student_id,frequency
63220107,1
63200122,1
63200084,1
63190362,1
63220121,1
63190305,1
63190180,1
63190240,1
63220129,1
63200090,1
63200186,1
63200183,1
63190202,1
63200043,1
63200003,1
63210033,1
63220327,1
63210264,1
63220359,1
63190002,1
63190168,1
63210259,1
63200258,1
63190175,1
63200171,1
63210171,1
63210038,1
63190338,1
63190383,1
63190386,1
63190388,1
63200140,1
63190045,1
63190108,1
63190081,1
63190109,1
63200351,1
63210142,1
63210177,1
63210353,1
63210025,1
63210415,1
63220077,1
63200272,1
63220032,1
63220164,1
63220109,1
63200238,1
63200087,1
63210266,1
63220165,1
63190071,1
63200052,1
63200248,1
63220331,1
63200181,1
63200047,1
63220253,1
63220126,1
63220037,1
63200145,1
63220036,1
63210355,1
63200189,1
63200014,1
63190155,1
63200305,1
63190309,1
63210189,1
63190135,1
63220408,1
63210214,1
63190167,1
63190276,1
63200044,1
63190270,1
63190052,1
63190210,1
63190317,1
63230273,1
63230265,1
63230245,1
63230168,1
63230062,1
63230028,1
63220334,1
63220315,1
63220311,1
63220138,1
63220195,1
63190243,1
63220163,1
63210385,1
63190329,1
63220277,1
63220262,1
63220194,1
63220144,1
63220084,1
63220019,1
63220016,1
63210222,1
63220499,1
63210221,1
63210204,1
63210195,1
63210137,1
63210099,1
63200061,1
63190264,1
63220258,1
63200214,1
63210207,1
63220214,1
63210115,1
63190148,1
63190016,1
63220282,1
63190292,1
63200118,1
63220184,1
63220069,1
63210003,1
63200325,1
63200320,1
63200343,1
63200314,1
63200163,1
63200064,1
63190259,1
63190228,1
63190238,1
63220172,1
63210435,1
63210163,1
63200243,1
63210313,1
63190335,1
63190332,1
63190263,1
63190213,1
63190200,1
63190139,1
63190113,1
63190083,1
63190062,1
63190056,1
63210243,1
63210427,1
63200397,1
63200059,1
63200029,1
63190114,1
63220185,1
63210525,1
63210154,1
63210126,1
63200407,1
63220246,1
63210272,1
63210202,1
63200128,1
63200022,1
63200311,1
63210513,1
63210086,1
63200086,1
63200223,1
63190065,1
63220443,1
63220205,1
63200417,1
63190331,1
63200393,1
63190290,1
63190298,1
63190324,1
63230053,1
63220496,1
63220455,1
63220381,1
63220363,1
63220337,1
63220316,1
63220296,1
63220245,1
63220239,1
63220223,1
63220221,1
63220166,1
63220115,1
63220066,1
63220042,1
63220025,1
63220014,1
63230023,1
63230108,1
63210406,1
63230164,1
63220434,1
63220255,1
63220130,1
63220125,1
63210331,1
63210031,1
63240505,1
63240503,1
63230308,1
63230255,1
63230184,1
63230007,1
63220230,1
63210261,1
63210004,1
63230500,1
63230176,1
63210533,1
63210397,1
63200036,1
63190121,1
63190265,1
63190236,1
63210308,1
63210441,1
63210290,1
63210066,1
63200363,1
63200206,1
63190319,1
63190084,1
63200291,1
63200170,1
63190267,1
63190189,1
63210070,1
63200362,1
63200350,1
63190436,1
63190250,1
63210378,1
63200268,1
63210374,1
63210334,1
63210242,1
63210199,1
63210051,1
63210050,1
63200057,1
63210367,1
63210340,1
63210298,1
63210247,1
63210187,1
63200236,1
63200112,1
63220521,1
63210262,1
63210116,1
63220323,1
